0.536	3.095	0	1	0.07	8.61
0.453	3.020	1	0	2.56	0.05
0.294	3.107	0	0	-0.01	0.05
0.372	3.138	0	0	-0.01	0.00
0.571	3.138	0	1	-0.13	8.19
0.327	3.130	0	0	-0.09	0.13
0.615	3.120	1	0	2.75	-0.22
0.349	3.095	1	0	18.92	-0.14
0.582	3.059	0	0	0.03	-0.06
0.624	3.118	1	0	1.97	-0.16
0.227	3.081	0	0	0.03	0.04
0.250	3.138	0	0	-0.01	0.19
0.988	3.196	1	0	18.68	-0.04
0.785	3.017	1	0	33.60	0.06
0.397	3.096	1	1	10.44	5.48
0.678	3.082	0	1	0.07	10.10
0.526	3.162	0	0	-0.05	-0.02
0.831	3.104	1	0	24.04	-0.16
0.221	3.098	0	1	-0.01	2.86
0.281	3.077	0	0	-0.09	0.04
0.253	3.091	1	0	5.74	0.10
0.650	3.113	1	0	10.05	0.00
0.310	3.087	1	0	5.90	-0.06
0.897	3.095	0	1	0.07	16.80
0.727	3.127	0	1	0.07	4.40
0.256	3.107	1	0	14.76	0.10
0.496	3.075	1	0	0.77	0.10
0.484	3.079	0	1	-0.01	1.00
0.248	3.153	0	0	-0.05	0.21
0.359	3.080	1	0	3.41	-0.16
0.287	3.097	0	0	-0.09	0.04
0.428	3.176	1	0	3.06	0.11
0.281	3.128	1	1	0.92	16.13
0.238	3.052	0	0	-0.05	0.37
0.280	3.144	1	1	0.96	3.46
0.405	3.042	1	1	2.63	2.76
0.323	3.104	1	0	4.42	0.04
0.375	3.084	0	0	0.11	0.11
0.246	3.130	1	0	3.72	0.02
0.718	3.104	1	0	5.31	-0.38
0.277	3.089	0	0	-0.13	-0.10
0.894	3.047	0	0	0.15	0.37
0.681	3.108	0	1	0.11	13.68
0.319	3.131	0	0	-0.20	-0.16
0.440	3.133	0	1	-0.09	10.49
0.776	3.027	0	1	-0.17	3.09
0.453	3.130	1	0	3.29	0.07
0.290	3.094	0	0	0.26	-0.08
0.515	3.105	0	1	0.14	2.72
0.401	3.119	1	1	4.60	0.91
0.289	3.098	0	1	-0.05	3.37
0.453	3.127	0	1	-0.27	5.40
0.279	3.133	0	1	0.06	1.04
0.671	3.131	1	0	18.37	-0.02
0.253	3.122	0	0	0.06	-0.04
0.724	3.128	0	1	-0.01	29.13
0.569	3.111	0	1	0.03	4.83
0.416	3.131	0	1	-0.05	1.74
0.824	3.075	1	1	0.86	2.26
0.659	3.128	1	0	32.17	0.00
0.222	3.114	0	1	-0.12	5.03
0.499	3.122	0	1	-0.01	4.52
0.435	3.110	0	1	0.06	16.31
0.742	3.103	0	1	-0.06	31.80
0.338	3.069	0	1	0.06	3.93
0.287	3.104	1	0	1.23	-0.01
0.397	3.121	1	1	5.09	0.91
0.439	3.123	0	0	0.07	-0.02
0.282	3.143	0	1	-0.09	12.37
0.825	3.107	1	0	25.73	-0.08
0.335	3.086	0	1	-0.16	0.54
0.589	3.020	1	0	1.84	-0.08
0.485	3.132	1	0	8.72	0.43
0.922	3.073	0	1	-0.01	0.71
0.632	3.080	0	1	0.07	14.18
0.253	3.107	0	0	0.14	0.19
0.545	3.084	1	0	7.70	-0.02
0.487	3.096	1	1	1.96	14.05
0.287	3.093	0	1	0.07	0.81
0.400	3.085	1	0	7.27	0.32
0.213	3.108	0	1	0.01	0.98
0.633	3.130	1	0	6.75	-0.07
0.568	3.143	1	0	2.06	0.13
0.306	3.081	0	0	-0.10	-0.03
0.245	3.125	1	0	6.18	-0.27
0.392	3.061	0	0	-0.26	0.29
0.989	3.087	0	1	-0.02	25.15
0.502	3.116	1	1	11.36	34.57
0.949	3.096	1	0	22.71	-0.17
0.608	3.100	1	0	35.00	-0.16
0.728	3.093	1	1	10.95	0.84
0.431	3.051	1	0	10.07	0.08
0.238	3.120	1	0	22.40	0.04
0.787	3.178	0	0	0.18	0.03
0.236	3.115	1	1	0.82	9.63
0.571	3.130	0	1	0.03	41.32
0.347	3.069	0	1	-0.09	1.94
0.671	3.142	1	0	17.95	-0.18
0.346	3.117	0	0	-0.10	0.01
0.231	3.013	1	1	0.85	2.91
0.254	3.131	1	1	1.04	-5.90
0.559	3.082	1	0	1.57	0.34
0.659	3.092	1	0	8.45	-0.29
0.323	3.143	1	0	1.04	-0.11
0.489	3.112	0	1	-0.02	1.02
0.511	3.092	0	1	-0.10	1.87
0.398	3.109	0	1	-0.17	4.89
0.910	3.148	1	0	0.36	-0.17
0.472	3.111	1	0	1.68	-0.14
0.438	3.058	1	0	1.68	0.01
0.376	3.116	1	0	0.92	-0.07
0.234	3.112	1	0	0.77	0.11
0.363	3.065	1	0	3.50	0.07
0.427	3.017	0	1	0.09	0.96
0.807	3.121	0	0	-0.02	0.44
0.295	3.138	0	1	-0.10	0.60
0.253	3.102	0	1	-0.02	3.63
0.302	3.103	0	1	0.09	11.08
0.318	3.106	1	1	14.58	4.60
0.561	3.125	0	1	0.02	0.98
0.224	3.042	1	1	2.94	11.66
0.832	3.032	0	1	0.13	25.16
0.483	3.082	1	0	3.20	0.03
0.462	3.116	0	1	0.02	2.11
0.295	3.099	0	0	-0.05	-0.13
0.650	3.105	0	1	0.10	6.70
0.308	3.100	1	0	1.00	-0.06
0.287	3.127	1	0	0.85	-0.15
0.872	3.089	0	1	0.02	5.73
0.599	3.115	1	1	34.02	13.37
0.586	3.086	1	0	32.02	-0.02
0.602	3.009	0	0	0.02	-0.13
0.437	3.087	1	1	0.93	9.15
0.293	3.097	0	1	0.01	1.32
0.284	3.113	0	1	-0.02	5.37
0.449	3.162	0	0	0.10	0.20
0.850	3.120	1	0	3.85	-0.15
0.418	3.082	1	0	1.58	0.08
0.496	3.107	1	0	3.69	0.04
0.214	3.135	0	1	-0.01	3.19
0.708	3.195	0	0	-0.05	0.12
0.220	3.169	0	0	-0.08	-0.04
0.209	3.055	1	0	4.04	0.32
0.232	3.140	0	1	-0.05	4.27
0.367	3.046	1	0	13.57	-0.16
0.357	3.060	1	1	0.82	2.17
0.211	3.123	1	1	11.86	1.09
0.229	3.121	0	0	-0.16	-0.14
0.285	3.142	0	0	0.18	-0.23
0.284	3.106	0	0	-0.01	0.12
0.202	3.109	0	0	0.03	0.02
0.384	3.142	0	1	-0.01	9.13
0.779	3.143	1	0	14.97	-0.10
0.293	3.116	1	0	1.12	-0.10
0.286	3.080	1	0	1.16	-0.07
0.649	3.017	0	1	0.10	14.16
0.589	3.072	0	0	-0.01	0.00
0.471	3.088	0	0	-0.01	0.15
0.296	3.026	0	0	0.03	-0.10
0.300	3.014	1	1	7.78	0.97
0.256	3.143	0	0	-0.09	0.20
0.348	3.121	0	1	-0.12	1.80
0.316	3.094	1	1	0.94	0.94
0.803	3.093	1	0	19.86	0.20
0.262	3.065	0	0	-0.05	-0.04
0.270	3.028	0	1	-0.13	2.00
0.226	3.139	0	0	-0.05	4.47
0.563	3.105	0	1	0.14	24.71
0.372	3.121	1	1	0.78	5.99
0.778	3.133	0	1	-0.14	19.54
0.740	3.094	0	1	-0.02	19.21
0.241	3.119	1	0	1.87	0.07
0.411	3.096	0	0	-0.10	-0.01
0.241	3.116	0	1	0.05	0.75
0.520	3.083	1	0	17.52	0.06
0.369	3.095	1	0	-5.93	0.05
0.443	3.076	1	0	25.99	-0.12
0.218	3.073	1	0	5.48	0.13
0.334	3.124	1	0	1.12	0.10
0.347	3.096	1	0	1.80	0.02
0.284	3.107	0	0	-0.06	0.17
0.222	3.118	0	1	-0.10	4.10
0.370	3.118	1	0	2.79	-0.04
0.300	3.114	1	0	1.24	-0.09
0.422	3.173	0	0	0.09	0.06
0.508	3.099	0	0	-0.06	0.05
0.358	3.079	1	0	0.81	0.62
0.250	3.108	1	0	8.43	-0.23
0.233	3.071	1	1	1.23	1.95
0.283	3.100	1	0	1.04	0.18
0.689	3.060	1	0	8.15	0.11
0.716	3.083	0	1	0.02	10.04
0.664	3.080	0	1	-0.02	32.47
0.405	3.106	1	0	20.23	-0.04
0.962	3.187	0	0	0.02	0.08
0.445	3.108	0	1	-0.06	9.38
0.387	3.150	1	0	14.33	0.14
0.276	3.124	0	0	0.13	0.04
0.790	3.065	0	1	-0.06	14.83
0.232	3.085	1	0	12.87	-0.06
0.268	3.140	0	1	-0.04	4.92
0.704	3.117	0	1	-0.08	17.34
0.943	3.128	1	0	29.85	0.18
0.406	3.132	0	1	-0.04	3.15
0.451	3.133	1	1	17.69	2.07
0.243	3.103	0	0	-0.00	0.93
0.401	3.125	1	0	23.79	0.02
0.245	3.114	1	1	1.33	23.04
0.248	3.058	0	0	0.07	-0.11
0.875	3.071	0	1	-0.04	1.04
0.467	3.118	0	1	0.11	6.93
0.359	3.100	0	1	-0.16	2.80
0.546	3.113	0	1	-0.04	5.65
0.253	3.106	0	0	-0.01	-0.12
0.310	3.102	1	0	-1.40	-0.04
